K_eff_GPa,eps_assoc_K,T_K,p_bar,N_mmol_g
0.3,100.0,298.0,0.08207022030922942,0.6439022564565402
0.3,100.0,298.0,0.09451509160693887,0.7187334361042512
0.3,100.0,298.0,0.10884706423120744,0.8003010438650506
0.3,100.0,298.0,0.12535229231987327,0.8888674476631668
0.3,100.0,298.0,0.1443603215284684,0.9846498280444926
0.3,100.0,298.0,0.1662506687841307,1.0878123516258846
0.3,100.0,298.0,0.1914603997728015,1.1984590942013478
0.3,100.0,298.0,0.22049285545286207,1.3166281088113925
0.3,100.0,298.0,0.25392770182998,1.502482312361595
0.3,100.0,298.0,0.2924325036483547,1.6406809636629844
0.3,100.0,298.0,0.33677605308027264,1.786455365287348
0.3,100.0,298.0,0.3878437195364236,2.1907038085904245
0.3,100.0,298.0,0.44665512707340205,2.3731508285394325
0.3,100.0,298.0,0.5143845123479462,2.562874115424197
0.3,100.0,298.0,0.5923841695876297,2.759292299804194
0.3,100.0,298.0,0.6822114506835166,2.961765990584592
0.3,100.0,298.0,0.785659859492348,3.169610901065828
0.3,100.0,298.0,0.9047948611813732,3.382111561326114
0.3,100.0,298.0,1.0419951215901386,3.5985350301121475
0.3,100.0,298.0,1.2,3.8181440865331426
0.3,100.0,323.0,0.001,0.004524939076960347
0.3,100.0,323.0,0.0013130324344878836,0.0059367581348339265
0.3,100.0,323.0,0.0017240541740171785,0.007787205958857639
0.3,100.0,323.0,0.0022637390492987737,0.010211233968809125
0.3,100.0,323.0,0.002972362794946059,0.013384391605418083
0.3,100.0,323.0,0.003902808756829234,0.017534412087909467
0.3,100.0,323.0,0.00512451448332012,0.02295569185991573
0.3,100.0,323.0,0.0067286537276022365,0.030027126579690238
0.3,100.0,323.0,0.008834940584779547,0.03923367972324371
0.3,100.0,323.0,0.01160056354458889,0.051191857196446686
0.3,100.0,323.0,0.015231916192382951,0.06667889700052393
0.3,100.0,323.0,0.020000000000000004,0.08666491002740691
0.3,100.0,323.0,0.02303273739264226,0.09918203125826629
0.3,100.0,323.0,0.026525349589921046,0.11341886723110911
0.3,100.0,323.0,0.030547570567634134,0.12958852061015408
0.3,100.0,323.0,0.03517970854337624,0.14792483878389137
0.3,100.0,323.0,0.04051424942146391,0.16868312160720791
0.3,100.0,323.0,0.04665770337922934,0.19214052251869632
0.3,100.0,323.0,0.05373273146387932,0.21859605054323636
0.3,100.0,323.0,0.061880594659844954,0.24837006941951278
0.3,100.0,323.0,0.07126397432503748,0.28180318181643743
0.3,100.0,323.0,0.08207022030922942,0.3192543836933979
0.3,100.0,323.0,0.09451509160693887,0.3802880835034177
0.3,100.0,323.0,0.10884706423120744,0.42909253005984505
0.3,100.0,323.0,0.12535229231987327,0.48322908409044646
0.3,100.0,323.0,0.1443603215284684,0.543089940175387
0.3,100.0,323.0,0.1662506687841307,0.6090606452609983
0.3,100.0,323.0,0.1914603997728015,0.6815128174815509
0.3,100.0,323.0,0.22049285545286207,0.7607961506285383
0.3,100.0,323.0,0.25392770182998,0.8472298829574869
0.3,100.0,323.0,0.2924325036483547,0.9410939736304278
0.3,100.0,323.0,0.33677605308027264,1.042620293587792
0.3,100.0,323.0,0.3878437195364236,1.1519841941246793
0.3,100.0,323.0,0.44665512707340205,1.3255600025830299
0.3,100.0,323.0,0.5143845123479462,1.4557779637923174
0.3,100.0,323.0,0.5923841695876297,1.594286976014194
0.3,100.0,323.0,0.6822114506835166,1.9630652385569531
0.3,100.0,323.0,0.785659859492348,2.1393588507090944
0.3,100.0,323.0,0.9047948611813732,2.3242665442230495
0.3,100.0,323.0,1.0419951215901386,2.5173140037082713
0.3,100.0,323.0,1.2,2.7179411100572084
0.3,200.0,273.0,0.001,0.03231853134871974
0.3,200.0,273.0,0.0013130324344878836,0.04207524989416095
0.3,200.0,273.0,0.0017240541740171785,0.054660572967826046
0.3,200.0,273.0,0.0022637390492987737,0.07083024287496244
0.3,200.0,273.0,0.002972362794946059,0.09151085842514202
0.3,200.0,273.0,0.003902808756829234,0.1178252452313196
0.3,200.0,273.0,0.00512451448332012,0.15111553205562572
0.3,200.0,273.0,0.0067286537276022365,0.19295958544809333
0.3,200.0,273.0,0.008834940584779547,0.24517433165500163
0.3,200.0,273.0,0.01160056354458889,0.30979784393707016
0.3,200.0,273.0,0.015231916192382951,0.41090317093705475
0.3,200.0,273.0,0.020000000000000004,0.5124377889698729
0.3,200.0,273.0,0.02303273739264226,0.572729575817974
0.3,200.0,273.0,0.026525349589921046,0.6386272624722995
0.3,200.0,273.0,0.030547570567634134,0.7103955886061992
