dF0_K,eps_assoc_K,T_K,p_bar,N_mmol_g
100.0,200.0,323.0,0.22578202510608278,1.106898118574011
100.0,200.0,323.0,0.2583273804598255,1.22135844495672
100.0,200.0,323.0,0.2955639868314636,1.3444983152241734
100.0,200.0,323.0,0.33816806471002536,1.4764980594176382
100.0,200.0,323.0,0.38691330840293764,1.6174744831695593
100.0,200.0,323.0,0.4426849364018869,1.767474773185611
100.0,200.0,323.0,0.5064957670389989,1.9264716896648937
100.0,200.0,323.0,0.5795046113688597,2.094360338988793
100.0,200.0,323.0,0.6630373172929507,2.270956769439164
100.0,200.0,323.0,0.7586108470898982,2.455998557537134
100.0,200.0,323.0,0.8679608256018917,2.6491474558729466
100.0,200.0,323.0,0.9930730593550847,2.8499940616588457
100.0,200.0,323.0,1.1362195990043518,3.0580643485775627
100.0,200.0,323.0,1.3,3.2728277947773665
100.0,300.0,273.0,0.001,0.05359971635814383
100.0,300.0,273.0,0.0013130324344878836,0.06894938597158891
100.0,300.0,273.0,0.0017240541740171785,0.08834782846981615
100.0,300.0,273.0,0.0022637390492987737,0.11271826879501169
100.0,300.0,273.0,0.002972362794946059,0.14314261731407313
100.0,300.0,273.0,0.003902808756829234,0.18086901601048
100.0,300.0,273.0,0.00512451448332012,0.22730970379493023
100.0,300.0,273.0,0.0067286537276022365,0.28402584784644447
100.0,300.0,273.0,0.008834940584779547,0.3526977417902143
100.0,300.0,273.0,0.01160056354458889,0.4350809602002239
100.0,300.0,273.0,0.015231916192382951,0.5329505790838533
100.0,300.0,273.0,0.020000000000000004,0.6480357745224006
100.0,300.0,273.0,0.02288290047345013,0.7118012549057962
100.0,300.0,273.0,0.026181356703891212,0.7803506038727223
100.0,300.0,273.0,0.029955268985751946,0.8538477001667162
100.0,300.0,273.0,0.03427317194281946,1.2306329993370348
100.0,300.0,273.0,0.03921347912384905,1.3400205249600647
100.0,300.0,273.0,0.04486590700043761,1.4562881288401137
100.0,300.0,273.0,0.051333104227104166,1.5795421746058373
100.0,300.0,273.0,0.05873251575110334,1.7098484885923368
100.0,300.0,273.0,0.06719851562439198,1.847227509342969
100.0,300.0,273.0,0.07688484724982726,1.991650095344784
100.0,300.0,273.0,0.08796741537671066,2.14303429998489
100.0,300.0,273.0,0.10064748054859585,2.3012433930290657
100.0,300.0,273.0,0.11515531401485132,2.4660853490938224
100.0,300.0,273.0,0.131754379479537,2.6373139389574587
100.0,300.0,273.0,0.15074611762857124,2.81463145588692
100.0,300.0,273.0,0.1724754203226801,2.9976929962676904
100.0,300.0,273.0,0.1973368938680183,3.1861121036961886
100.0,300.0,273.0,0.22578202510608278,3.3794674909488034
100.0,300.0,273.0,0.2583273804598255,3.5773104861653104
100.0,300.0,273.0,0.2955639868314636,3.7791728161053375
100.0,300.0,273.0,0.33816806471002536,3.984574343463448
100.0,300.0,273.0,0.38691330840293764,4.193030414424455
100.0,300.0,273.0,0.4426849364018869,4.404058539362245
100.0,300.0,273.0,0.5064957670389989,4.617184212883581
100.0,300.0,273.0,0.5795046113688597,4.83194576717224
100.0,300.0,273.0,0.6630373172929507,5.047898233785682
100.0,300.0,273.0,0.7586108470898982,5.26461625555919
100.0,300.0,273.0,0.8679608256018917,5.481696137734201
100.0,300.0,273.0,0.9930730593550847,5.698757155280442
100.0,300.0,273.0,1.1362195990043518,5.915442244075986
100.0,300.0,273.0,1.3,6.131418201404704
100.0,300.0,298.0,0.001,0.018772463702954822
100.0,300.0,298.0,0.0013130324344878836,0.024471414528771978
100.0,300.0,298.0,0.0017240541740171785,0.03184074041233275
100.0,300.0,298.0,0.0022637390492987737,0.04133620175068989
100.0,300.0,298.0,0.002972362794946059,0.05352135541030443
100.0,300.0,298.0,0.003902808756829234,0.06908654304651941
100.0,300.0,298.0,0.00512451448332012,0.08886918002106432
100.0,300.0,298.0,0.0067286537276022365,0.11387441480316414
100.0,300.0,298.0,0.008834940584779547,0.1452941553352027
100.0,300.0,298.0,0.01160056354458889,0.18452096284696795
100.0,300.0,298.0,0.015231916192382951,0.23315191033167812
100.0,300.0,298.0,0.020000000000000004,0.2929769871182747
100.0,300.0,298.0,0.02288290047345013,0.32728771273234397
100.0,300.0,298.0,0.026181356703891212,0.3650577159647228
100.0,300.0,298.0,0.029955268985751946,0.4065386946794062
100.0,300.0,298.0,0.03427317194281946,0.4519844778305559
100.0,300.0,298.0,0.03921347912384905,0.5016483567443971
100.0,300.0,298.0,0.04486590700043761,0.5557801665626678
100.0,300.0,298.0,0.051333104227104166,0.6146231528096668
100.0,300.0,298.0,0.05873251575110334,0.6784106617340747
100.0,300.0,298.0,0.06719851562439198,0.747362696406395
100.0,300.0,298.0,0.07688484724982726,1.0899167410133492
100.0,300.0,298.0,0.08796741537671066,1.1945366631445578
